year,team,slot_assumption,unweighted_path_elo,weighted_path_elo,rounds_used
1986,Algeria,winner,1824.47,1872.45,4
1986,Algeria,runner_up,1838.34,1897.08,4
1986,Algeria,blend,1836.1,1893.09,4
1986,Argentina,winner,1833.09,1885.81,4
1986,Argentina,runner_up,1830.23,1898.91,4
1986,Argentina,blend,1831.72,1892.1,4
1986,Belgium,winner,1825.87,1886.09,4
1986,Belgium,runner_up,1829.23,1882.79,4
1986,Belgium,blend,1827.89,1884.1,4
1986,Brazil,winner,1821.23,1872.09,4
1986,Brazil,runner_up,1835.1,1896.55,4
1986,Brazil,blend,1827.44,1883.03,4
1986,Bulgaria,winner,1833.42,1886.13,4
1986,Bulgaria,runner_up,1831.05,1899.8,4
1986,Bulgaria,blend,1832.16,1893.42,4
1986,Canada,winner,1817.53,1863.35,4
1986,Canada,runner_up,1817.53,1880.26,4
1986,Canada,blend,1817.53,1878.3,4
1986,Denmark,winner,1818.45,1892.7,4
1986,Denmark,runner_up,1811.23,1892.88,4
1986,Denmark,blend,1814.78,1892.79,4
1986,England,winner,1825.97,1880.07,4
1986,England,runner_up,1816.28,1872.39,4
1986,England,blend,1823.52,1878.13,4
1986,France,winner,1813.75,1860.5,4
1986,France,runner_up,1813.75,1876.06,4
1986,France,blend,1813.75,1866.66,4
1986,Hungary,winner,1814.88,1864.39,4
1986,Hungary,runner_up,1814.88,1880.85,4
1986,Hungary,blend,1814.88,1874.24,4
1986,Iraq,winner,1828.38,1885.85,4
1986,Iraq,runner_up,1835.59,1882.34,4
1986,Iraq,blend,1834.64,1882.8,4
1986,Italy,winner,1832.99,1885.67,4
1986,Italy,runner_up,1829.98,1898.61,4
1986,Italy,blend,1831.6,1891.63,4
1986,Mexico,winner,1825.68,1887.69,4
1986,Mexico,runner_up,1828.76,1884.67,4
1986,Mexico,blend,1826.7,1886.69,4
1986,Morocco,winner,1835.53,1888.28,4
1986,Morocco,runner_up,1820.05,1879.65,4
1986,Morocco,blend,1822.15,1880.82,4
1986,Northern Ireland,winner,1821.93,1872.75,4
1986,Northern Ireland,runner_up,1835.8,1897.37,4
1986,Northern Ireland,blend,1829.75,1886.64,4
1986,Paraguay,winner,1825.99,1886.05,4
1986,Paraguay,runner_up,1829.53,1882.77,4
1986,Paraguay,blend,1828.17,1884.03,4
1986,Poland,winner,1831.04,1888.83,4
1986,Poland,runner_up,1818.28,1880.05,4
1986,Poland,blend,1822.28,1882.8,4
1986,Portugal,winner,1831.01,1888.82,4
1986,Portugal,runner_up,1818.27,1880.05,4
1986,Portugal,blend,1822.27,1882.81,4
1986,Scotland,winner,1819.0,1893.44,4
1986,Scotland,runner_up,1811.45,1893.24,4
1986,Scotland,blend,1814.93,1893.33,4
1986,South Korea,winner,1835.92,1885.93,4
1986,South Korea,runner_up,1837.39,1899.67,4
1986,South Korea,blend,1837.1,1897.01,4
1986,Soviet Union,winner,1814.34,1863.81,4
1986,Soviet Union,runner_up,1814.34,1880.72,4
1986,Soviet Union,blend,1814.34,1872.73,4
1986,Spain,winner,1821.38,1872.39,4
1986,Spain,runner_up,1835.26,1897.0,4
1986,Spain,blend,1828.03,1884.18,4
1986,Uruguay,winner,1820.13,1894.17,4
1986,Uruguay,runner_up,1811.89,1893.46,4
1986,Uruguay,blend,1815.24,1893.75,4
1986,West Germany,winner,1817.16,1890.23,4
1986,West Germany,runner_up,1810.72,1891.03,4
1986,West Germany,blend,1814.48,1890.56,4
1990,Argentina,winner,1823.26,1916.95,4
1990,Argentina,runner_up,1835.63,1939.72,4
1990,Argentina,blend,1831.29,1931.73,4
1990,Austria,winner,1835.68,1916.9,4
1990,Austria,runner_up,1827.89,1936.58,4
1990,Austria,blend,1829.19,1933.28,4
1990,Belgium,winner,1815.26,1930.73,4
1990,Belgium,runner_up,1829.06,1941.2,4
