year,team_name,matches,wins,draws,losses,goals_for,goals_against,yellows_received,dismissals_received,pen_goals_for,yellows_drawn,dismissals_drawn,pen_goals_against
1954,Yugoslavia,3,1,1,1,2,3,0,0,0,0,0,0
1958,Argentina,3,1,0,2,5,10,0,0,2,0,0,0
1958,Austria,3,0,1,2,2,7,0,0,0,0,0,0
1958,Brazil,6,5,1,0,16,4,0,0,0,0,0,0
1958,Czechoslovakia,4,1,1,2,9,6,0,0,1,0,0,1
1958,England,4,0,3,1,4,5,0,0,1,0,0,0
1958,France,6,4,0,2,23,15,0,0,1,0,0,1
1958,Hungary,4,1,1,2,7,5,0,0,0,0,0,0
1958,Mexico,3,0,1,2,1,8,0,0,0,0,0,1
1958,Northern Ireland,5,2,1,2,6,10,0,0,0,0,0,1
1958,Paraguay,3,1,1,1,9,12,0,0,1,0,0,0
1958,Scotland,3,0,1,2,4,6,0,0,0,0,0,0
1958,Soviet Union,5,2,1,2,5,6,0,0,0,0,0,1
1958,Sweden,6,4,1,1,12,7,0,0,1,0,0,0
1958,Wales,5,1,3,1,4,4,0,0,0,0,0,0
1958,West Germany,6,2,2,2,12,14,0,0,0,0,0,2
1958,Yugoslavia,4,1,2,1,7,7,0,0,0,0,0,0
1962,Argentina,3,1,1,1,2,3,0,0,0,0,0,1
1962,Brazil,6,5,1,0,14,5,0,0,0,0,0,1
1962,Bulgaria,3,0,1,2,1,7,0,0,0,0,0,0
1962,Chile,6,4,0,2,10,8,0,0,1,0,0,1
1962,Colombia,3,0,1,2,5,11,0,0,1,0,0,0
1962,Czechoslovakia,6,3,1,2,7,7,0,0,1,0,0,1
1962,England,4,1,1,2,5,6,0,0,2,0,0,0
1962,Hungary,4,2,1,1,8,3,0,0,0,0,0,1
1962,Italy,3,1,1,1,3,2,0,0,0,0,0,0
1962,Mexico,3,1,0,2,3,4,0,0,1,0,0,0
1962,Soviet Union,4,2,1,1,9,7,0,0,0,0,0,0
1962,Spain,3,1,0,2,2,3,0,0,0,0,0,0
1962,Switzerland,3,0,0,3,2,8,0,0,0,0,0,0
1962,Uruguay,3,1,0,2,4,6,0,0,0,0,0,2
1962,West Germany,4,2,1,1,4,2,0,0,1,0,0,0
1962,Yugoslavia,6,3,0,3,10,7,0,0,1,0,0,1
1966,Argentina,4,2,1,1,4,2,0,0,0,0,0,0
1966,Brazil,3,1,0,2,4,6,0,0,0,0,0,1
1966,Bulgaria,3,0,0,3,1,8,0,0,0,0,0,0
1966,Chile,3,0,1,2,2,5,0,0,1,0,0,0
1966,England,6,5,1,0,11,3,0,0,0,0,0,1
1966,France,3,0,1,2,2,5,0,0,1,0,0,0
1966,Hungary,4,2,0,2,8,7,0,0,1,0,0,0
1966,Italy,3,1,0,2,2,2,0,0,0,0,0,0
1966,Mexico,3,0,2,1,1,3,0,0,0,0,0,0
1966,North Korea,4,1,1,2,5,9,0,0,0,0,0,3
1966,Portugal,6,5,0,1,17,8,0,0,4,0,0,0
1966,Soviet Union,6,4,0,2,10,6,0,0,0,0,0,1
1966,Spain,3,1,0,2,4,5,0,0,0,0,0,0
1966,Switzerland,3,0,0,3,1,9,0,0,0,0,0,1
1966,Uruguay,4,1,2,1,2,5,0,0,0,0,0,1
1966,West Germany,6,4,1,1,15,6,0,0,1,0,0,0
1970,Belgium,3,1,0,2,4,5,3,0,1,2,0,1
1970,Brazil,6,6,0,0,19,7,3,0,0,7,0,0
1970,Bulgaria,3,0,1,2,5,9,0,0,0,0,0,1
1970,Czechoslovakia,3,0,0,3,2,7,2,0,0,2,0,2
1970,El Salvador,3,0,0,3,0,9,4,0,0,1,0,1
1970,England,4,2,0,2,4,4,2,0,1,2,0,0
1970,Israel,3,0,2,1,1,3,4,0,0,2,0,0
1970,Italy,6,3,2,1,10,8,7,0,0,6,0,0
1970,Mexico,4,2,1,1,6,4,3,0,1,12,0,0
1970,Morocco,3,0,1,2,2,6,0,0,0,0,0,0
1970,Peru,4,2,0,2,9,9,0,0,0,0,0,0
1970,Romania,3,1,0,2,4,5,3,0,1,1,0,0
1970,Soviet Union,4,2,1,1,6,2,8,0,0,4,0,0
1970,Sweden,3,1,1,1,2,2,2,0,0,2,0,0
1970,Uruguay,6,2,1,3,4,5,7,0,0,5,0,0
1970,West Germany,6,5,0,1,17,10,4,0,1,6,0,0
1974,Argentina,6,1,2,3,9,12,8,0,0,5,0,0
1974,Australia,3,0,1,2,0,5,1,1,0,3,0,0
1974,Brazil,7,3,2,2,6,4,11,1,0,9,0,0
1974,Bulgaria,3,0,2,1,2,5,3,0,0,4,0,2
1974,Chile,3,0,2,1,1,2,5,1,0,2,1,0
1974,East Germany,6,2,2,2,5,5,10,0,0,6,0,0
1974,Haiti,3,0,0,3,2,14,3,0,0,2,0,0
1974,Italy,3,1,1,1,5,4,2,0,0,4,0,0
1974,Netherlands,7,5,1,1,15,3,11,0,3,14,2,1
1974,Poland,7,6,0,1,16,5,5,0,1,5,0,0
1974,Scotland,3,1,2,0,3,1,3,0,0,7,0,0
1974,Sweden,6,2,2,2,7,6,5,0,0,6,0,1
1974,Uruguay,3,0,1,2,1,6,5,1,0,1,0,0
1974,West Germany,7,6,0,1,13,4,3,0,2,12,1,1
1974,Yugoslavia,6,1,2,3,12,7,10,0,0,4,1,1
1974,Zaire,3,0,0,3,0,14,2,1,0,3,0,0
1978,Argentina,7,5,1,1,15,4,4,0,1,8,2,0
1978,Austria,6,3,0,3,7,10,2,0,1,1,0,1
1978,Brazil,7,4,3,0,10,3,3,0,1,3,0,0
1978,France,3,1,0,2,5,5,3,0,0,1,0,1
1978,Hungary,3,0,0,3,3,8,4,2,1,1,0,0
1978,Iran,3,0,1,2,2,8,0,0,0,0,0,4
1978,Italy,7,4,1,2,9,6,6,0,0,8,0,1
1978,Mexico,3,0,0,3,2,12,1,0,1,1,0,0
1978,Netherlands,7,3,2,2,15,10,8,1,4,7,0,1
1978,Peru,6,2,1,3,7,12,3,0,2,3,0,1
1978,Poland,6,3,1,2,6,6,3,0,0,3,0,0
1978,Scotland,3,1,1,1,5,6,1,0,1,1,0,1
1978,Spain,3,1,1,1,2,2,1,0,0,1,0,0
1978,Sweden,3,0,1,2,1,3,2,0,0,1,0,1
1978,Tunisia,3,1,1,1,3,2,1,0,0,1,0,1
1978,West Germany,6,1,4,1,10,5,4,0,0,6,1,0
1982,Algeria,3,2,0,1,5,5,2,0,0,2,0,1
1982,Argentina,5,2,0,3,8,7,7,2,1,8,0,0
1982,Austria,5,2,1,2,5,4,6,0,0,2,0,0
1982,Belgium,5,2,1,2,3,5,3,0,0,5,0,0
1982,Brazil,5,4,0,1,15,6,2,0,0,3,1,0
1982,Cameroon,3,0,3,0,1,1,4,0,0,2,0,0
1982,Chile,3,0,0,3,3,8,4,0,1,2,0,0
1982,Czechoslovakia,3,0,2,1,2,4,2,1,2,1,0,0
1982,El Salvador,3,0,0,3,1,13,5,0,0,4,0,1
1982,England,5,3,2,0,6,1,3,0,0,3,0,0
1982,France,7,3,1,3,16,12,6,0,1,9,1,1
1982,Honduras,3,0,2,1,2,3,1,1,0,1,0,2
1982,Hungary,3,1,1,1,12,6,2,0,0,2,0,0
1982,Italy,7,4,3,0,12,6,11,0,0,12,1,0
1982,Kuwait,3,0,1,2,2,6,3,0,0,2,0,1
1982,New Zealand,3,0,0,3,2,12,0,0,0,0,0,0
1982,Northern Ireland,5,1,3,1,5,7,4,1,0,3,0,0
1982,Peru,3,0,2,1,2,6,2,0,0,2,0,0
1982,Poland,7,3,3,1,11,5,10,0,0,10,0,0
1982,Scotland,3,1,1,1,8,8,1,0,0,0,0,0
1982,Soviet Union,5,2,2,1,7,4,4,0,0,3,0,0
1982,Spain,5,1,2,2,4,5,6,0,2,7,1,0
1982,West Germany,7,4,1,2,12,10,8,0,0,12,0,1
1982,Yugoslavia,3,1,1,1,2,2,3,0,1,4,1,1
1986,Algeria,3,0,1,2,1,5,2,0,0,4,0,0
1986,Argentina,7,6,1,0,14,5,12,0,0,11,0,1
1986,Belgium,7,3,1,3,12,15,8,0,1,12,1,2
1986,Brazil,5,4,0,1,10,1,3,0,2,5,0,0
1986,Bulgaria,4,0,2,2,2,6,3,0,0,5,0,0
1986,Canada,3,0,0,3,0,5,3,1,0,0,0,0
1986,Denmark,4,3,0,1,10,6,5,1,2,8,1,3
1986,England,5,2,1,2,7,3,8,1,0,5,0,0
1986,France,7,5,1,1,12,6,6,0,1,6,0,0
1986,Hungary,3,1,0,2,2,9,0,0,0,5,1,1
1986,Iraq,3,0,0,3,1,4,9,1,0,2,0,1
1986,Italy,4,1,2,1,5,6,8,0,1,7,0,0
1986,Mexico,5,3,1,1,6,2,11,1,0,9,1,0
1986,Morocco,4,1,2,1,3,2,5,0,0,3,1,0
1986,Northern Ireland,3,0,1,2,2,6,5,0,0,2,0,0
1986,Paraguay,4,1,2,1,4,6,5,0,0,7,0,0
1986,Poland,4,1,1,2,1,7,5,0,0,4,0,2
1986,Portugal,3,1,0,2,2,4,2,0,0,4,0,0
1986,Scotland,3,0,1,2,1,3,5,0,0,4,1,0
1986,South Korea,3,0,1,2,4,7,7,0,0,4,0,0
1986,Soviet Union,4,2,1,1,12,5,2,0,2,3,0,0
1986,Spain,5,3,0,2,11,4,8,0,2,6,0,1
1986,Uruguay,4,0,2,2,2,8,12,2,1,6,0,0
1986,West Germany,7,4,1,2,8,7,8,1,0,20,2,1
1990,Argentina,7,4,1,2,5,4,23,3,0,13,5,1
1990,Austria,3,1,0,2,2,3,9,1,0,6,0,1
1990,Belgium,4,2,0,2,6,4,2,1,0,3,0,1
1990,Brazil,4,3,0,1,4,2,7,1,0,8,0,0
1990,Cameroon,5,3,0,2,7,9,14,2,1,6,0,2
1990,Colombia,4,1,1,2,4,4,5,0,0,9,0,0
1990,Costa Rica,4,2,0,2,4,6,6,0,0,7,0,0
1990,Czechoslovakia,5,3,0,2,10,5,14,1,2,10,1,1
1990,Egypt,3,0,2,1,1,2,4,0,1,3,0,0
1990,England,7,3,2,2,8,6,6,0,2,6,0,2
1990,Italy,7,6,0,1,10,2,6,0,1,15,1,0
1990,Netherlands,4,0,3,1,3,4,5,1,1,3,1,1
1990,Republic of Ireland,5,1,3,1,2,3,4,0,0,6,0,0
1990,Romania,4,1,1,2,4,3,7,0,1,7,0,0
1990,Scotland,3,1,0,2,2,3,3,0,1,1,0,0
1990,South Korea,3,0,0,3,1,6,8,1,0,2,0,0
1990,Soviet Union,3,1,0,2,4,4,3,1,0,7,0,1
1990,Spain,4,2,1,1,6,4,4,0,1,8,0,0
1990,Sweden,3,0,0,3,3,6,4,0,0,6,0,1
1990,United Arab Emirates,3,0,0,3,2,11,8,1,0,4,0,0
1990,United States,3,0,0,3,2,8,7,1,0,8,1,1
1990,Uruguay,4,1,1,2,2,5,9,0,0,9,2,0
1990,West Germany,7,6,1,0,15,5,8,1,2,18,4,1
1990,Yugoslavia,5,3,0,2,8,6,9,1,0,10,1,0
1994,Argentina,4,2,0,2,8,6,9,0,2,13,1,0
1994,Belgium,4,2,0,2,4,4,6,0,0,12,0,0
1994,Bolivia,3,0,1,2,1,4,8,2,0,7,0,1
1994,Brazil,7,6,1,0,11,3,8,1,1,17,3,0
1994,Bulgaria,7,4,0,3,10,11,23,2,3,21,1,2
1994,Cameroon,3,0,1,2,3,11,5,1,0,5,0,1
1994,Colombia,3,1,0,2,4,5,7,0,0,4,0,0
1994,Germany,5,3,1,1,9,7,13,0,1,12,1,0
1994,Greece,3,0,0,3,0,10,8,0,0,7,0,3
1994,Italy,7,4,1,2,8,5,11,2,1,19,0,1
1994,Mexico,4,1,1,2,4,4,11,1,1,10,1,0
1994,Morocco,3,0,0,3,2,5,10,0,0,8,0,1
1994,Netherlands,5,3,0,2,8,6,12,0,0,10,0,0
1994,Nigeria,4,2,0,2,7,4,9,0,0,9,1,1
1994,Norway,3,1,1,1,1,1,6,0,0,5,1,0
1994,Republic of Ireland,4,1,1,2,2,4,8,0,0,5,0,0
1994,Romania,5,3,0,2,10,9,12,1,0,12,1,1
1994,Russia,3,1,0,2,7,6,9,1,2,5,0,2
1994,Saudi Arabia,4,2,0,2,5,6,10,0,1,9,0,0
1994,South Korea,3,0,2,1,4,5,6,0,0,9,2,0
1994,Spain,5,2,2,1,10,6,13,1,2,7,0,0
1994,Sweden,7,4,2,1,15,8,14,2,1,11,1,1
1994,Switzerland,4,1,1,2,5,7,8,0,0,11,1,1
1994,United States,4,1,1,2,3,4,9,1,0,7,1,0
1998,Argentina,5,4,0,1,10,4,11,1,2,15,3,1
1998,Austria,3,0,2,1,3,4,6,0,1,6,0,0
1998,Belgium,3,0,3,0,3,3,4,1,0,6,2,1
1998,Brazil,7,5,0,2,14,10,12,0,1,18,1,2
1998,Bulgaria,3,0,1,2,1,7,8,1,0,7,0,1
1998,Cameroon,3,0,2,1,2,5,6,3,0,7,0,0
1998,Chile,4,0,3,1,5,8,13,0,0,6,2,2
1998,Colombia,3,1,0,2,1,3,5,0,0,7,0,0
1998,Croatia,7,5,0,2,11,5,19,0,1,14,2,0
1998,Denmark,5,2,1,2,9,7,12,2,1,11,1,1
1998,England,4,2,0,2,7,4,5,1,1,14,0,1
1998,France,7,7,0,0,15,2,13,3,1,17,1,1
1998,Germany,5,3,1,1,8,6,12,1,0,7,0,0
1998,Iran,3,1,0,2,2,4,3,0,0,5,0,0
1998,Italy,5,3,1,1,8,3,11,0,1,16,1,1
1998,Jamaica,3,1,0,2,3,9,6,1,0,4,0,1
1998,Japan,3,0,0,3,1,4,7,0,0,4,0,0
1998,Mexico,4,1,2,1,8,7,10,2,1,8,2,0
1998,Morocco,3,1,1,1,5,5,4,0,0,3,1,0
1998,Netherlands,7,3,2,2,13,7,11,2,0,20,2,0
1998,Nigeria,4,2,0,2,6,9,8,0,0,6,0,0
1998,Norway,4,1,2,1,5,5,7,0,1,6,0,0
1998,Paraguay,4,1,2,1,3,2,8,0,0,8,1,0
1998,Romania,4,2,1,1,4,3,10,0,0,5,0,2
1998,Saudi Arabia,3,0,1,2,2,7,4,1,2,7,1,1
1998,Scotland,3,0,1,2,2,6,4,1,1,5,0,0
1998,South Africa,3,0,2,1,3,6,7,1,1,7,2,2
1998,South Korea,3,0,1,2,2,9,7,1,0,3,0,0
1998,Spain,3,1,1,1,8,4,7,0,1,5,0,0
1998,Tunisia,3,0,1,2,1,4,7,0,1,2,0,0
1998,United States,3,0,0,3,1,5,4,0,0,7,0,0
1998,Yugoslavia,4,2,1,1,5,4,7,0,0,2,0,0
2002,Argentina,3,1,1,1,2,2,6,1,0,5,0,1
2002,Belgium,4,1,2,1,6,7,6,0,0,11,0,0
2002,Brazil,7,7,0,0,18,4,7,1,2,10,2,0
2002,Cameroon,3,1,1,1,2,3,10,1,0,12,1,0
2002,China,3,0,0,3,0,9,5,1,0,9,0,1
2002,Costa Rica,3,1,1,1,5,6,6,0,0,7,0,0
2002,Croatia,3,1,0,2,2,3,3,1,0,2,0,1
2002,Denmark,4,2,1,1,5,5,9,0,1,5,1,0
2002,Ecuador,3,1,0,2,2,4,9,0,0,4,0,0
2002,England,5,2,2,1,6,3,6,0,1,4,1,0
2002,France,3,0,1,2,0,3,3,1,0,7,0,0
2002,Germany,7,5,1,1,14,3,18,1,0,18,2,0
2002,Italy,4,1,1,2,5,5,12,1,0,10,0,0
2002,Japan,4,2,1,1,5,3,6,0,0,11,0,0
2002,Mexico,4,2,1,1,4,4,8,1,1,15,1,0
2002,Nigeria,3,0,1,2,1,3,2,0,0,4,0,1
2002,Paraguay,4,1,1,2,6,7,11,2,0,12,1,2
2002,Poland,3,1,0,2,3,7,9,0,0,6,0,0
2002,Portugal,3,1,0,2,6,4,8,2,0,7,0,0
2002,Republic of Ireland,4,1,2,1,6,3,4,0,1,5,0,0
2002,Russia,3,1,0,2,4,4,9,0,1,6,0,0
2002,Saudi Arabia,3,0,0,3,0,12,3,0,0,4,0,0
2002,Senegal,5,2,2,1,7,6,14,1,1,12,0,2
2002,Slovenia,3,0,0,3,2,7,10,1,0,5,1,1
2002,South Africa,3,1,1,1,5,5,10,0,1,8,0,0
2002,South Korea,7,4,1,2,8,6,14,0,0,19,3,0
2002,Spain,5,4,0,1,10,5,7,0,2,10,0,1
2002,Sweden,4,1,2,1,5,5,6,0,1,7,1,0
2002,Tunisia,3,0,1,2,1,5,8,0,0,3,0,1
2002,Turkey,7,4,1,2,10,6,19,2,0,10,1,1
2002,United States,5,2,1,2,7,7,14,0,0,14,1,0
2002,Uruguay,3,0,2,1,4,5,10,0,1,10,1,1
2006,Angola,3,0,2,1,1,2,11,1,0,6,0,0
2006,Argentina,5,3,1,1,11,3,12,1,0,15,1,0
2006,Australia,4,1,1,2,5,6,11,1,1,15,3,1
2006,Brazil,5,4,0,1,10,2,11,0,0,15,1,0
2006,Costa Rica,3,0,0,3,3,9,8,0,0,8,0,0
2006,Croatia,3,0,2,1,2,3,11,2,0,6,1,1
2006,Czech Republic,3,1,0,2,3,4,7,2,0,9,0,0
2006,Ecuador,4,2,0,2,5,4,9,0,0,7,0,0
2006,England,5,3,1,1,6,2,9,1,0,13,0,0
2006,France,7,4,2,1,9,3,16,1,2,17,0,1
2006,Germany,7,6,0,1,14,6,12,0,0,18,3,0
2006,Ghana,4,2,0,2,4,6,18,1,1,7,1,0
2006,Iran,3,0,1,2,2,6,8,0,0,8,0,1
2006,Italy,7,6,1,0,12,2,11,2,1,17,4,1
2006,Ivory Coast,3,1,0,2,5,6,9,1,2,12,1,0
2006,Japan,3,0,1,2,2,7,7,0,0,7,0,0
2006,Mexico,4,1,1,2,5,5,12,1,0,12,1,1
2006,Netherlands,4,2,1,1,3,2,16,2,0,18,2,0
2006,Paraguay,3,1,0,2,2,2,8,0,0,7,0,0
2006,Poland,3,1,0,2,2,4,10,1,0,10,0,0
2006,Portugal,7,5,0,2,7,5,24,2,2,24,4,1
2006,Saudi Arabia,3,0,1,2,2,7,5,0,0,10,0,0
2006,Serbia and Montenegro,3,0,0,3,2,10,12,2,0,7,1,2
2006,South Korea,3,1,1,1,3,4,9,0,0,11,1,0
2006,Spain,4,3,0,1,9,4,6,0,3,13,1,0
2006,Sweden,4,1,2,1,3,4,10,1,0,10,1,0
2006,Switzerland,4,2,1,1,4,0,12,0,0,11,0,0
2006,Togo,3,0,0,3,1,6,10,1,0,4,0,0
2006,Trinidad and Tobago,3,0,1,2,0,4,10,1,0,4,0,0
2006,Tunisia,3,0,1,2,3,6,14,1,0,6,0,2
2006,Ukraine,5,3,0,2,5,7,12,1,1,8,1,1
2006,United States,3,0,1,2,2,6,5,2,0,10,1,1
2010,Algeria,3,0,1,2,0,2,8,2,0,5,0,0
2010,Argentina,5,4,0,1,10,6,7,0,0,6,0,0
2010,Australia,3,1,1,1,3,6,7,2,0,7,0,1
2010,Brazil,5,3,1,1,9,4,9,2,0,14,0,0
2010,Cameroon,3,0,0,3,2,5,5,0,1,6,0,0
2010,Chile,4,2,0,2,3,5,15,1,0,6,1,0
2010,Denmark,3,1,0,2,3,6,6,0,0,6,0,0
2010,England,4,1,2,1,3,5,6,0,0,8,0,0
2010,France,3,0,1,2,1,4,6,1,0,8,1,1
2010,Germany,7,5,0,2,16,5,13,1,0,12,1,0
2010,Ghana,5,2,1,2,5,4,11,0,2,12,3,1
2010,Greece,3,1,0,2,2,5,5,0,0,2,1,0
2010,Honduras,3,0,1,2,0,3,7,0,0,3,0,0
2010,Italy,3,0,2,1,4,5,5,0,1,8,0,0
2010,Ivory Coast,3,1,1,1,4,3,5,0,0,3,1,0
2010,Japan,4,2,0,2,4,2,7,0,0,6,0,0
2010,Mexico,4,1,1,2,4,5,9,0,1,5,0,0
2010,Netherlands,7,6,0,1,12,6,24,1,0,14,1,2
2010,New Zealand,3,0,3,0,2,2,6,0,0,3,0,1
2010,Nigeria,3,0,1,2,3,5,5,1,1,5,0,0
2010,North Korea,3,0,0,3,1,12,2,0,0,3,0,0
2010,Paraguay,5,2,2,1,3,2,9,0,0,12,0,0
2010,Portugal,4,1,2,1,7,1,8,1,0,8,0,0
2010,Serbia,3,1,0,2,2,3,10,1,0,10,1,1
2010,Slovakia,4,1,1,2,5,7,12,0,1,9,0,0
2010,Slovenia,3,1,1,1,3,3,9,0,0,5,1,0
2010,South Africa,3,1,1,1,3,5,4,1,0,3,1,1
2010,South Korea,4,1,1,2,6,8,6,0,0,7,0,1
2010,Spain,7,6,0,1,8,2,8,0,0,24,3,0
2010,Switzerland,3,1,1,1,1,1,8,1,0,10,0,0
2010,United States,4,1,2,1,5,5,9,0,1,13,1,0
2010,Uruguay,7,4,1,2,11,8,11,2,1,19,1,0
2014,Algeria,4,1,1,2,7,7,6,0,1,6,0,0
2014,Argentina,7,6,0,1,8,4,8,0,0,13,0,0
2014,Australia,3,0,0,3,3,9,6,0,1,3,0,0
2014,Belgium,5,4,0,1,6,3,7,1,0,5,0,1
2014,Bosnia and Herzegovina,3,1,0,2,4,4,3,0,0,3,0,0
2014,Brazil,7,4,1,2,11,14,14,0,1,14,0,2
2014,Cameroon,3,0,0,3,1,9,4,1,0,2,0,0
2014,Chile,4,2,0,2,6,4,7,0,0,9,0,0
2014,Colombia,5,4,0,1,12,4,5,0,2,9,0,0
2014,Costa Rica,5,3,1,1,5,2,12,1,0,10,1,1
2014,Croatia,3,1,0,2,6,6,4,1,0,4,1,1
2014,Ecuador,3,1,1,1,3,3,5,1,0,3,0,0
2014,England,3,0,1,2,2,4,4,0,0,2,0,0
2014,France,5,3,1,1,10,3,5,0,1,7,2,0
2014,Germany,7,6,1,0,18,4,6,0,1,8,1,0
2014,Ghana,3,0,1,2,4,6,6,0,0,1,0,0
2014,Greece,4,1,1,2,3,5,8,1,1,11,1,0
2014,Honduras,3,0,0,3,1,8,7,1,0,6,0,1
2014,Iran,3,0,1,2,1,4,4,0,0,1,0,0
2014,Italy,3,1,0,2,2,3,3,1,0,4,0,0
2014,Ivory Coast,3,1,0,2,4,5,7,0,0,2,0,1
2014,Japan,3,0,1,2,2,6,4,0,0,7,1,1
2014,Mexico,4,2,1,1,5,3,8,0,0,4,1,1
2014,Netherlands,7,6,0,1,15,4,11,0,2,14,0,2
2014,Nigeria,4,1,1,2,3,5,3,0,0,3,0,0
2014,Portugal,3,1,1,1,4,7,2,1,0,4,0,1
2014,Russia,3,0,2,1,2,3,4,0,0,8,0,0
2014,South Korea,3,0,1,2,3,6,6,0,0,3,1,0
2014,Spain,3,1,0,2,4,7,3,0,1,7,0,0
2014,Switzerland,4,2,0,2,7,7,3,0,0,6,0,0
2014,United States,4,1,1,2,5,6,4,0,0,4,0,0
2014,Uruguay,4,2,0,2,4,6,8,1,1,4,1,0
2018,Argentina,4,1,1,2,6,9,11,0,0,9,0,2
2018,Australia,3,0,1,2,2,5,7,0,2,5,0,1
2018,Belgium,7,6,0,1,16,6,11,0,1,13,0,0
2018,Brazil,5,3,1,1,8,3,7,0,0,13,0,0
2018,Colombia,4,2,0,2,6,3,9,1,0,6,0,2
2018,Costa Rica,3,0,1,2,2,5,6,0,0,7,0,0
